번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
2599,과자류,서울우유엄마의사랑을담은사르르녹는 아기요거트 딸기,30,130.5,20.1,5.1,3.6,20.1,75,9,2.1,0,2015
2600,과자류,서울우유엄마의사랑을담은사르르녹는 아기요거트 딸기,30,39.15,6.03,1.53,1.08,6.03,22.5,2.7,0.63,0,2017
2601,과자류,서울우유엄마의사랑을담은사르르녹는 아기요거트 플레인,30,130.5,20.1,5.1,3.6,20.1,99,9.6,2.1,0,2015
2602,과자류,서울우유엄마의사랑을담은사르르녹는 아기요거트 플레인,30,39.15,6.03,1.53,1.08,1.11,29.7,2.88,0.63,0,2017
2603,과자류,석류향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2604,과자류,석류향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2605,과자류,선샤인 치즈 잇 크래커,30,45.6,5.1,0.9,2.4,0,69,0,0.6,0,2013
2606,과자류,선샤인 치즈 잇 크래커,30,45.6,5.1,0.9,2.4,0,69,0,0.6,0,2017
2607,과자류,선샤인 치즈 잇 화이트체다 크래커,30,48,5.7,0.9,2.4,0,63,0,0.6,0,2013
2608,과자류,선샤인 치즈 잇 화이트체다 크래커,30,48,5.7,0.9,2.4,0,63,0,0.6,0,2017
2609,과자류,설레임 포도(롯데제과),100,52.78,13.33,0,0.61,7.78,2.78,0,0.61,0,2012
2610,과자류,설레임 포도(롯데제과),100,29.32,7.41,0,0.34,7.78,1.54,0,0.34,0,2017
2611,과자류,세이버리 타르트 쉘 원형,30,45,3.9,1.2,2.7,0.3,25.5,3,0.45,0,2013
2612,과자류,세이버리 타르트 쉘 원형,30,45,3.9,1.2,2.7,0.3,25.5,3,0.45,0,2017
2613,과자류,세이버리 타르트 쉘 정사각,30,45,3.9,1.2,2.7,0.3,25.5,3,0.45,0,2013
2614,과자류,세이버리 타르트 쉘 정사각,30,45,3.9,1.2,2.7,0.3,25.5,3,0.45,0,2017
2615,과자류,세이브엘 쌀과자 고소한맛,30,31.5,4.8,0.3,1.2,1.2,33,0,0.54,0,2013
2616,과자류,세이브엘 쌀과자 고소한맛,30,42.95,6.55,0.41,1.64,1.64,45,0,0.74,0,2017
2617,과자류,세이브엘 쌀과자 달콤한맛,30,34.5,5.4,0.3,1.23,1.2,27,0,0.54,0,2013
2618,과자류,세이브엘 쌀과자 달콤한맛,30,43.12,6.75,0.38,1.54,2.36,33.75,0,0.68,0,2017
2619,과자류,세일럼 메이어 레몬 쿠키,30,39,6.6,0.6,1.35,3,40.5,3,0.6,0,2013
2620,과자류,세일럼 메이어 레몬 쿠키,30,41.79,7.07,0.64,1.45,3.21,43.39,3.21,0.64,0,2017
2621,과자류,세일럼 초콜릿 쿠키,30,39,6.3,0.3,1.8,3.3,36,0,0.9,0,2013
2622,과자류,세일럼 초콜릿 쿠키,30,41.79,6.75,0.32,1.93,3.54,38.57,0,0.96,0,2017
2623,과자류,세일럼 크렌베리 오렌지 쿠키,30,39,6.6,0.3,1.2,3,37.5,3,0.6,0,2013
2624,과자류,세일럼 크렌베리 오렌지 쿠키,30,41.79,7.07,0.32,1.29,3.21,40.18,3.21,0.64,0,2017
2625,과자류,세일럼 클래식 슈가 쿠키,30,39,6.6,0.6,1.35,3,40.5,3,0.6,0,2013
2626,과자류,세일럼 클래식 슈가 쿠키,30,41.79,7.07,0.64,1.45,3.21,43.39,3.21,0.64,0,2017
2627,과자류,세일럼 키 라임 쿠키,30,39,6.6,0.6,1.35,3.3,42,3,0.6,0,2013
2628,과자류,세일럼 키 라임 쿠키,30,41.79,7.07,0.64,1.45,3.54,45,3.21,0.64,0,2017
2629,과자류,세필스,30,45.3,6.3,1.5,3,0,48,0,0.6,0,2013
2630,과자류,세필스,30,45.3,6.3,1.5,3,0,48,0,0.6,0,2017
2631,과자류,소 딜리셔스 석류칩,30,45,7.5,0.25,1.8,6,9,0,0.75,0,2013
2632,과자류,소 딜리셔스 석류칩,30,13.5,2.25,0.08,0.54,1.8,2.7,0,0.22,0,2017
2633,과자류,소라마메 매실맛,30,38.4,5.7,1.2,1.2,1.68,63.6,0,0.18,0,2013
2634,과자류,소라마메 매실맛,30,39.72,5.9,1.24,1.24,1.74,65.79,0,0.19,0,2017
